ImageFile,fakeiq_trials.thisRepN,fakeiq_trials.thisTrialN,fakeiq_trials.thisN,fakeiq_trials.thisIndex,intro_text.started,intro_text.stopped,space_instr_intro.started,space_instr_intro.stopped,intro_key_resp.keys,intro_key_resp.rt,intro_key_resp.started,intro_key_resp.stopped,itemIndex,questions,ratings,rt,space_instr_4.started,space_instr_4.stopped,relationship_key_resp.keys,relationship_key_resp.rt,relationship_key_resp.started,relationship_key_resp.stopped,relationship_instr.started,relationship_instr.stopped,instr_fakeiq.started,instr_fakeiq.stopped,instr_fakeiq_key_resp.keys,instr_fakeiq_key_resp.rt,instr_fakeiq_key_resp.started,instr_fakeiq_key_resp.stopped,image_raven.started,image_raven.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instr_premfq.started,instr_premfq.stopped,instr_premfq_key_resp.keys,instr_premfq_key_resp.rt,instr_premfq_key_resp.started,instr_premfq_key_resp.stopped,mfq1_key_resp.keys,mfq1_key_resp.rt,mfq1_key_resp.started,mfq1_key_resp.stopped,space_instr.started,space_instr.stopped,mfq1_instr.started,mfq1_instr.stopped,scale_instr_mfq1.started,scale_instr_mfq1.stopped,mfq2_key_resp.keys,mfq2_key_resp.rt,mfq2_key_resp.started,mfq2_key_resp.stopped,space_instr_2.started,space_instr_2.stopped,scale_instr_mfq1_2.started,scale_instr_mfq1_2.stopped,mfq1_instr_2.started,mfq1_instr_2.stopped,condition,manipulation_text.started,manipulation_text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,demo_key_resp.keys,demo_key_resp.rt,demo_key_resp.started,demo_key_resp.stopped,space_instr_3.started,space_instr_3.stopped,debriefing_text.started,debriefing_text.stopped,debriefing_key_resp.keys,debriefing_key_resp.rt,debriefing_key_resp.started,debriefing_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.157170000020415,None,space,0.9793596998788416,25.157170000020415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,1,1) czy ktoś ucierpiał emocjonalnie;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,2,2) czy ktoś był traktowany inaczej niż inni;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,3,3) czy czyjeś działania były przejawem miłości dla ojczyzny;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,4,4) czy ktoś okazał brak szacunku dla władzy;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,5,5) czy ktoś pogwałcił zasady czystości i przyzwoitości;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,6,6) czy ktoś troszczył się o kogoś słabego lub bezbronnego;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,7,7) czy ktoś zachował się nieuczciwie;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,8,"8) czy ktoś zrobił coś, aby zdradzić własną grupę;",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,9,9) czy ktoś postępował zgodnie z tradycją;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,10,10) czy ktoś zrobił coś obrzydliwego;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,11,11) czy ktoś zachował się okrutnie;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,12,12) czy komuś odmówiono jego/jej praw;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
