ImageFile,fakeiq_trials.thisRepN,fakeiq_trials.thisTrialN,fakeiq_trials.thisN,fakeiq_trials.thisIndex,intro_text.started,intro_text.stopped,space_instr_intro.started,space_instr_intro.stopped,intro_key_resp.keys,intro_key_resp.rt,intro_key_resp.started,intro_key_resp.stopped,itemIndex,questions,ratings,rt,space_instr_4.started,space_instr_4.stopped,relationship_key_resp.keys,relationship_key_resp.rt,relationship_key_resp.started,relationship_key_resp.stopped,relationship_instr.started,relationship_instr.stopped,instr_fakeiq.started,instr_fakeiq.stopped,instr_fakeiq_key_resp.keys,instr_fakeiq_key_resp.rt,instr_fakeiq_key_resp.started,instr_fakeiq_key_resp.stopped,image_raven.started,image_raven.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instr_premfq.started,instr_premfq.stopped,instr_premfq_key_resp.keys,instr_premfq_key_resp.rt,instr_premfq_key_resp.started,instr_premfq_key_resp.stopped,mfq1_key_resp.keys,mfq1_key_resp.rt,mfq1_key_resp.started,mfq1_key_resp.stopped,space_instr.started,space_instr.stopped,mfq1_instr.started,mfq1_instr.stopped,scale_instr_mfq1.started,scale_instr_mfq1.stopped,mfq2_key_resp.keys,mfq2_key_resp.rt,mfq2_key_resp.started,mfq2_key_resp.stopped,space_instr_2.started,space_instr_2.stopped,scale_instr_mfq1_2.started,scale_instr_mfq1_2.stopped,mfq1_instr_2.started,mfq1_instr_2.stopped,condition,manipulation_text.started,manipulation_text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,demo_key_resp.keys,demo_key_resp.rt,demo_key_resp.started,demo_key_resp.stopped,space_instr_3.started,space_instr_3.stopped,debriefing_text.started,debriefing_text.stopped,debriefing_key_resp.keys,debriefing_key_resp.rt,debriefing_key_resp.started,debriefing_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,11.775826100027189,None,11.775826100027189,None,space,1.9492269000038505,11.775826100027189,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,1,Czy ma Pani/Pan ukończone 18 lat?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,2,Czy jest Pani/Pan aktualnie w związku?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,3,Czy jest Pani/Pan w związku małżeńskim?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,4,Kto jest dla Pani/Pana najbliższą osobą?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,5,Czy ma Pani/Pan tematy tabu ze swoją najbliższą osobą?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,6,"W skali od 1 do 7 (1 - zupełnie niesatysfakcjonująca; 7 - zupełnie satysfakcjonująca), prosimy powiedzieć, jak bardzo satysfakcjonująca jest Pani/Pana relacja z najbliższą osobą",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,7,Jak często uprawia Pani/Pan seks?,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,8,"W skali od 1 do 7 (1 - zupełnie nieswobodnie; 7 - bardzo swobodnie) prosimy o udzielenie odpowiedzi, jak bardzo swobodnie czuje się Pani/Pan przy najbliższej dla siebie osobie",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,,,,,13.791999900015071,None,space,1.160354500170797,13.791999900015071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,,,,,,,,,,,13.791999900015071,None,14.973281899932772,None,space,1.8404828999191523,14.973281899932772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
raven/raven2.png,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16.932238299865276,None,['4'],[3.21067459997721],16.932238299865276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
raven/raven1.png,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.179262100020424,None,['3'],[1.0786452000029385],20.179262100020424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
raven/raven3.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21.311760799959302,None,['1'],[1.096063300035894],21.311760799959302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.43687119986862,None,space,1.5998858001548797,22.43687119986862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
,,,,,,,,,,,,,1,1) czy ktoś ucierpiał emocjonalnie;,5.0,53.116430199937895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,001,2020_May_07_2105,macbeth,2020.1.2,60.05010588228542,
